VISA;TITRE;REALISATEUR;PRODUCTEURS;DEVIS;GENRE;EOF;RANG;ASR;PAYANTE;CLAIR;NATIONALITE;Date;DECOMPOSITION;AIDES
123639;PETITS RUISSEAUX (LES);RABATE Pascal;F COMME FILM / LOIN DERRIERE L'OURAL;3 321 798,00;Fiction;;1;;;;France;2009;France-100;Sofica,Crédit D'impot,Aide Régionale
97806;AVENTURES D'UN JEUNE PIRATE (LES);LAGUIONIE Jean-François;DARGAUD MEDIA / LA FABRIQUE / NORD OUEST FILMS;3 210 759,00;Animation;;3;avant;;;France;2003;France-100;
103114;BANDIT (LE);BORHANE Alaouie;JACQUES LE GLOU AUDIOVISUEL (TIERS FERME);1 461 338,00;Fiction;;3;;;;France/Liban/Belgique;2003;France-40 / Liban-30 / Belgique-30;
106173;BÊLEMENT DE L'AGNEAU (LE);XHUVANI Gjergj;LES FILMS DE CINEMA (TIERS FERME);915 028,00;Fiction;;2;;;;France/Allemagne;2003;France-61 / Allemagne-39;
105585;DERNIER SIGNE (LE);LAW Douglas;CARRERE GROUP / FRANCE 2 CINEMA;11 061 272,00;Fiction;;1;;;;Canada/France/Grande Bretagne;2003;Canada-26 / France-40 / Grande Bretagne-32;
107078;FURET (LE);MOCKY Jean-Pierre;PROFIDEV;995 420,00;Fiction;;3;après;;;France;2003;France-100;
115572;35 RHUMS;DENIS Claire;ARTE FRANCE CINEMA / SOUDAINE COMPAGNIE;3 630 921,00;Fiction;;3;;;;France/Allemagne;2008;France-80 / Allemagne-20;Sofica,Crédit D'impot,Aide Régionale
118867;9 MM;BARMAN Taylan;DOLCE VITA FILMS;1 807 707,00;Fiction;;2;;;;Belgique/France;2008;Belgique-71 / France-28;Aide Régionale
114637;LAGERFELD CONFIDENTIEL;MARCONI Rodolphe;REALITISM FILMS SARL;802 893,00;Documentaire;;3;;;;France;2008;France-100;
116494;MOVEON.ORG;STEVENSON Scott / JORDANOV Alex;YALLA FILMS;847 187,00;Documentaire;;1;;;;France;2008;France-100;Crédit D'impot
142187;Au temps du cannibalisme;EDKINS Teboho;KINOELEKTRON;387 733,00;Docu;OUI;1;avant;;;France/Af Du Sud;2018;France-90 / Af Du Sud-10;Sofica,Aide Régionale
148160;Bacurau;FILHO Kleber Mendonca / DORNELLES Juliano;SBS FILMS;2 043 453,00;Fiction;NON;3 / 2;;;Arte;Brésil/France;2018;Brésil-60 / France-40;
148987;C'est quoi cette famille ?! (2);JULIEN-LAFERRIERE Gabriel;BONNE PIOCHE CINÉMA;6 354 977,00;Fiction;OUI;3;;OCS Ciné+;M6 W9 6ter;France;2018;France-100;Crédit D'impot
143768;Just kids;BLANC Christophe;BLUE MONDAY PRODUCTIONS;2 283 855,00;Fiction;OUI;3;avant;Ciné+;;France/Suisse;2018;France-90 / Suisse-10;Sofica,Crédit D'impot,Aide Régionale
148023;Mise à nue;SELIGNAC Arnaud;AUTHENTIC MEDIA;251 356,00;Fiction;OUI;3;;;;France;2018;France-100;Crédit D'impot
147059;Out;PARROT Denis;DRYADES FILMS ET UPSIDE FILMS;200 392,00;Docu;OUI;1;;;;France;2018;France-100;Crédit D'impot,Aide Régionale
149361;Papy sitter;GUILLARD Philippe;SAME PLAYER ET GAUMONT;5 735 053,00;Fiction;OUI;3;;C+ Ciné+;F2;France;2018;France-100;Crédit D'impot,Aide Régionale
145608;Proxima;WINOCOUR Alice;DHARAMSALA ET DARIUS FILMS;6 544 487,00;Fiction;OUI;3;avant;C+ Ciné+;F3;France;2018;France-100;Sofica,Crédit D'impot,Aide Régionale
